id,titulo,texto,categoria
1,Introducción a Python,"Variables, funciones, estructuras de control y sintaxis básica.",Python
2,Python Avanzado,"Decoradores, generadores, programación concurrente y metaprogramación.",Python
3,Django Web Framework,Desarrollo de aplicaciones web robustas con el framework Django.,Python
4,FastAPI para Microservicios,Creación de APIs REST rápidas y eficientes con tipado de datos.,Python
5,Análisis de Datos con Pandas,"Manipulación, limpieza y análisis exploratorio de datos.",Python
6,Web Scraping con BeautifulSoup,Extracción de datos e información desde páginas web.,Python
7,Automatización con Python,Creación de scripts para automatizar tareas repetitivas en el sistema.,Python
8,Pruebas Unitarias en Python,Uso de pytest y unittest para asegurar la calidad del código.,Python
9,Spring Boot APIs,Desarrollo de servicios Java Spring REST eficientes y escalables.,Backend
10,Node.js y Express,Construcción de servidores backend rápidos utilizando JavaScript.,Backend
11,Arquitectura de Microservicios,Diseño e implementación de sistemas distribuidos y desacoplados.,Backend
12,GraphQL Avanzado,Implementación de APIs con GraphQL y optimización de consultas.,Backend
13,Seguridad con OAuth2,Protección de APIs mediante tokens JWT y flujos de autenticación.,Backend
14,NestJS Framework,Desarrollo backend estructurado y escalable con TypeScript.,Backend
15,Estrategias de Caching con Redis,Optimización del rendimiento web mediante caché en memoria.,Backend
16,Patrones de Diseño Backend,Aplicación de patrones de arquitectura y diseño de software limpio.,Backend
17,Docker Básico,"Gestión de contenedores, creación de imágenes y Docker Compose.",DevOps
18,Kubernetes en Producción,"Orquestación de contenedores, despliegue, escalado y alta disponibilidad.",DevOps
19,CI/CD con GitHub Actions,Automatización de flujos de integración y despliegue continuo.,DevOps
20,Terraform Infrastructure as Code,Gestión y aprovisionamiento de infraestructura en la nube como código.,DevOps
21,Monitoreo con Prometheus y Grafana,Configuración de métricas y tableros de visualización del sistema.,DevOps
22,Ansible Automatización,Configuración y gestión de servidores de forma automatizada.,DevOps
23,Linux para Administradores,"Comandos esenciales, seguridad y administración de servidores Linux.",DevOps
24,Seguridad en Cloud (DevSecOps),Integración de prácticas de seguridad en el ciclo de vida de DevOps.,DevOps
25,Power BI,"Modelado de datos, creación de reportes y visualización interactiva.",BI
26,Tableau para Principiantes,Conexión a fuentes de datos y diseño de dashboards ejecutivos.,BI
27,Modelado de Datos Dimensional,Diseño de esquemas en estrella y copo de nieve para Data Warehouse.,BI
28,DAX Avanzado en Power BI,Fórmulas y funciones complejas para análisis de datos avanzado.,BI
29,ETL con Talend,"Extracción, transformación y carga de datos desde múltiples fuentes.",BI
30,SQL para Business Intelligence,"Consultas avanzadas, agregaciones y análisis de bases de datos.",BI
31,Google Looker Studio,Creación de reportes dinámicos e informes visuales en la nube.,BI
32,Excel Avanzado para Analistas,"Tablas dinámicas, macros, Power Query y funciones financieras.",BI
33,TensorFlow,Entrenamiento de redes neuronales y modelos de aprendizaje profundo.,IA
34,Machine Learning con Scikit-Learn,"Algoritmos de clasificación, regresión y clustering tradicionales.",IA
35,Deep Learning con PyTorch,Construcción de arquitecturas de redes complejas y redes de convolución.,IA
36,Procesamiento de Lenguaje Natural,"Análisis de texto, embeddings, modelos GPT y transformers.",IA
37,Visión por Computadora con OpenCV,"Detección de objetos, procesamiento de imágenes y video en tiempo real.",IA
38,Modelos de Lenguaje Grandes (LLMs),Fine-tuning y despliegue de modelos masivos de IA.,IA
39,Sistemas de Recomendación,Algoritmos de filtrado colaborativo y basados en contenido.,IA
40,MLOps con MLflow,"Ciclo de vida, registro y despliegue de modelos de Machine Learning.",IA
41,React.js Esencial,"Componentes, hooks, estado y ciclo de vida en aplicaciones web.",Frontend
42,Vue.js 3 y Composition API,Desarrollo frontend moderno y reactivo con Vue.,Frontend
43,Angular Arquitectura,"Módulos, servicios, inyección de dependencias y TypeScript.",Frontend
44,CSS Avanzado y Flexbox/Grid,"Diseño web responsivo, animaciones y maquetación profesional.",Frontend
45,Next.js Framework,Renderizado en el servidor (SSR) y generación de sitios estáticos.,Frontend
46,Tailwind CSS,Diseño rápido de interfaces con clases utilitarias eficientes.,Frontend
47,JavaScript Moderno (ES6+),"Promesas, asincronía, módulos y nuevas características del lenguaje.",Frontend
48,Optimización Web y Performance,Mejora de la velocidad de carga y métricas Core Web Vitals.,Frontend
49,PostgreSQL Avanzado,"Optimización de consultas, índices complejos y procedimientos almacenados.",Bases de Datos
50,MongoDB y NoSQL,Modelado de datos no relacionales basados en documentos flexibles.,Bases de Datos
51,Diseño de Bases de Datos,"Normalización, relaciones, integridad referencial y modelado relacional.",Bases de Datos
52,Redis como NoSQL,Uso de estructuras de datos en memoria para alta velocidad.,Bases de Datos
53,MySQL para Desarrolladores,"Administración, respaldos y desarrollo eficiente de consultas SQL.",Bases de Datos
54,Firebase Realtime Database,Sincronización de datos en tiempo real para aplicaciones móviles y web.,Bases de Datos
55,Neo4j y Gráficos,Bases de datos orientadas a grafos para análisis de conexiones complejas.,Bases de Datos
56,Cassandra a Gran Escala,Bases de datos distribuidas y altamente disponibles para Big Data.,Bases de Datos
57,Introducción a Python (Cohorte 2),"Variables, funciones, estructuras de control y sintaxis básica.",Python
58,Python Avanzado (Cohorte 2),"Decoradores, generadores, programación concurrente y metaprogramación.",Python
59,Django Web Framework (Cohorte 2),Desarrollo de aplicaciones web robustas con el framework Django.,Python
60,FastAPI para Microservicios (Cohorte 2),Creación de APIs REST rápidas y eficientes con tipado de datos.,Python
61,Análisis de Datos con Pandas (Cohorte 2),"Manipulación, limpieza y análisis exploratorio de datos.",Python
62,Web Scraping con BeautifulSoup (Cohorte 2),Extracción de datos e información desde páginas web.,Python
63,Automatización con Python (Cohorte 2),Creación de scripts para automatizar tareas repetitivas en el sistema.,Python
64,Pruebas Unitarias en Python (Cohorte 2),Uso de pytest y unittest para asegurar la calidad del código.,Python
65,Spring Boot APIs (Cohorte 2),Desarrollo de servicios Java Spring REST eficientes y escalables.,Backend
66,Node.js y Express (Cohorte 2),Construcción de servidores backend rápidos utilizando JavaScript.,Backend
67,Arquitectura de Microservicios (Cohorte 2),Diseño e implementación de sistemas distribuidos y desacoplados.,Backend
68,GraphQL Avanzado (Cohorte 2),Implementación de APIs con GraphQL y optimización de consultas.,Backend
69,Seguridad con OAuth2 (Cohorte 2),Protección de APIs mediante tokens JWT y flujos de autenticación.,Backend
70,NestJS Framework (Cohorte 2),Desarrollo backend estructurado y escalable con TypeScript.,Backend
71,Estrategias de Caching con Redis (Cohorte 2),Optimización del rendimiento web mediante caché en memoria.,Backend
72,Patrones de Diseño Backend (Cohorte 2),Aplicación de patrones de arquitectura y diseño de software limpio.,Backend
73,Docker Básico (Cohorte 2),"Gestión de contenedores, creación de imágenes y Docker Compose.",DevOps
74,Kubernetes en Producción (Cohorte 2),"Orquestación de contenedores, despliegue, escalado y alta disponibilidad.",DevOps
75,CI/CD con GitHub Actions (Cohorte 2),Automatización de flujos de integración y despliegue continuo.,DevOps
76,Terraform Infrastructure as Code (Cohorte 2),Gestión y aprovisionamiento de infraestructura en la nube como código.,DevOps
77,Monitoreo con Prometheus y Grafana (Cohorte 2),Configuración de métricas y tableros de visualización del sistema.,DevOps
78,Ansible Automatización (Cohorte 2),Configuración y gestión de servidores de forma automatizada.,DevOps
79,Linux para Administradores (Cohorte 2),"Comandos esenciales, seguridad y administración de servidores Linux.",DevOps
80,Seguridad en Cloud (DevSecOps) (Cohorte 2),Integración de prácticas de seguridad en el ciclo de vida de DevOps.,DevOps
81,Power BI (Cohorte 2),"Modelado de datos, creación de reportes y visualización interactiva.",BI
82,Tableau para Principiantes (Cohorte 2),Conexión a fuentes de datos y diseño de dashboards ejecutivos.,BI
83,Modelado de Datos Dimensional (Cohorte 2),Diseño de esquemas en estrella y copo de nieve para Data Warehouse.,BI
84,DAX Avanzado en Power BI (Cohorte 2),Fórmulas y funciones complejas para análisis de datos avanzado.,BI
85,ETL con Talend (Cohorte 2),"Extracción, transformación y carga de datos desde múltiples fuentes.",BI
86,SQL para Business Intelligence (Cohorte 2),"Consultas avanzadas, agregaciones y análisis de bases de datos.",BI
87,Google Looker Studio (Cohorte 2),Creación de reportes dinámicos e informes visuales en la nube.,BI
88,Excel Avanzado para Analistas (Cohorte 2),"Tablas dinámicas, macros, Power Query y funciones financieras.",BI
89,TensorFlow (Cohorte 2),Entrenamiento de redes neuronales y modelos de aprendizaje profundo.,IA
90,Machine Learning con Scikit-Learn (Cohorte 2),"Algoritmos de clasificación, regresión y clustering tradicionales.",IA
91,Deep Learning con PyTorch (Cohorte 2),Construcción de arquitecturas de redes complejas y redes de convolución.,IA
92,Procesamiento de Lenguaje Natural (Cohorte 2),"Análisis de texto, embeddings, modelos GPT y transformers.",IA
93,Visión por Computadora con OpenCV (Cohorte 2),"Detección de objetos, procesamiento de imágenes y video en tiempo real.",IA
94,Modelos de Lenguaje Grandes (LLMs) (Cohorte 2),Fine-tuning y despliegue de modelos masivos de IA.,IA
95,Sistemas de Recomendación (Cohorte 2),Algoritmos de filtrado colaborativo y basados en contenido.,IA
96,MLOps con MLflow (Cohorte 2),"Ciclo de vida, registro y despliegue de modelos de Machine Learning.",IA
97,React.js Esencial (Cohorte 2),"Componentes, hooks, estado y ciclo de vida en aplicaciones web.",Frontend
98,Vue.js 3 y Composition API (Cohorte 2),Desarrollo frontend moderno y reactivo con Vue.,Frontend
99,Angular Arquitectura (Cohorte 2),"Módulos, servicios, inyección de dependencias y TypeScript.",Frontend
100,CSS Avanzado y Flexbox/Grid (Cohorte 2),"Diseño web responsivo, animaciones y maquetación profesional.",Frontend
101,Next.js Framework (Cohorte 3),Renderizado en el servidor (SSR) y generación de sitios estáticos.,Frontend
102,Tailwind CSS (Cohorte 3),Diseño rápido de interfaces con clases utilitarias eficientes.,Frontend
103,JavaScript Moderno (ES6+) (Cohorte 3),"Promesas, asincronía, módulos y nuevas características del lenguaje.",Frontend
104,Optimización Web y Performance (Cohorte 3),Mejora de la velocidad de carga y métricas Core Web Vitals.,Frontend
105,PostgreSQL Avanzado (Cohorte 3),"Optimización de consultas, índices complejos y procedimientos almacenados.",Bases de Datos
106,MongoDB y NoSQL (Cohorte 3),Modelado de datos no relacionales basados en documentos flexibles.,Bases de Datos
107,Diseño de Bases de Datos (Cohorte 3),"Normalización, relaciones, integridad referencial y modelado relacional.",Bases de Datos
108,Redis como NoSQL (Cohorte 3),Uso de estructuras de datos en memoria para alta velocidad.,Bases de Datos
109,MySQL para Desarrolladores (Cohorte 3),"Administración, respaldos y desarrollo eficiente de consultas SQL.",Bases de Datos
110,Firebase Realtime Database (Cohorte 3),Sincronización de datos en tiempo real para aplicaciones móviles y web.,Bases de Datos
111,Neo4j y Gráficos (Cohorte 3),Bases de datos orientadas a grafos para análisis de conexiones complejas.,Bases de Datos
112,Cassandra a Gran Escala (Cohorte 3),Bases de datos distribuidas y altamente disponibles para Big Data.,Bases de Datos
113,Introducción a Python (Cohorte 3),"Variables, funciones, estructuras de control y sintaxis básica.",Python
114,Python Avanzado (Cohorte 3),"Decoradores, generadores, programación concurrente y metaprogramación.",Python
115,Django Web Framework (Cohorte 3),Desarrollo de aplicaciones web robustas con el framework Django.,Python
116,FastAPI para Microservicios (Cohorte 3),Creación de APIs REST rápidas y eficientes con tipado de datos.,Python
117,Análisis de Datos con Pandas (Cohorte 3),"Manipulación, limpieza y análisis exploratorio de datos.",Python
118,Web Scraping con BeautifulSoup (Cohorte 3),Extracción de datos e información desde páginas web.,Python
119,Automatización con Python (Cohorte 3),Creación de scripts para automatizar tareas repetitivas en el sistema.,Python
120,Pruebas Unitarias en Python (Cohorte 3),Uso de pytest y unittest para asegurar la calidad del código.,Python
121,Spring Boot APIs (Cohorte 3),Desarrollo de servicios Java Spring REST eficientes y escalables.,Backend
122,Node.js y Express (Cohorte 3),Construcción de servidores backend rápidos utilizando JavaScript.,Backend
123,Arquitectura de Microservicios (Cohorte 3),Diseño e implementación de sistemas distribuidos y desacoplados.,Backend
124,GraphQL Avanzado (Cohorte 3),Implementación de APIs con GraphQL y optimización de consultas.,Backend
125,Seguridad con OAuth2 (Cohorte 3),Protección de APIs mediante tokens JWT y flujos de autenticación.,Backend
126,NestJS Framework (Cohorte 3),Desarrollo backend estructurado y escalable con TypeScript.,Backend
127,Estrategias de Caching con Redis (Cohorte 3),Optimización del rendimiento web mediante caché en memoria.,Backend
128,Patrones de Diseño Backend (Cohorte 3),Aplicación de patrones de arquitectura y diseño de software limpio.,Backend
129,Docker Básico (Cohorte 3),"Gestión de contenedores, creación de imágenes y Docker Compose.",DevOps
130,Kubernetes en Producción (Cohorte 3),"Orquestación de contenedores, despliegue, escalado y alta disponibilidad.",DevOps
131,CI/CD con GitHub Actions (Cohorte 3),Automatización de flujos de integración y despliegue continuo.,DevOps
132,Terraform Infrastructure as Code (Cohorte 3),Gestión y aprovisionamiento de infraestructura en la nube como código.,DevOps
133,Monitoreo con Prometheus y Grafana (Cohorte 3),Configuración de métricas y tableros de visualización del sistema.,DevOps
134,Ansible Automatización (Cohorte 3),Configuración y gestión de servidores de forma automatizada.,DevOps
135,Linux para Administradores (Cohorte 3),"Comandos esenciales, seguridad y administración de servidores Linux.",DevOps
136,Seguridad en Cloud (DevSecOps) (Cohorte 3),Integración de prácticas de seguridad en el ciclo de vida de DevOps.,DevOps
137,Power BI (Cohorte 3),"Modelado de datos, creación de reportes y visualización interactiva.",BI
138,Tableau para Principiantes (Cohorte 3),Conexión a fuentes de datos y diseño de dashboards ejecutivos.,BI
139,Modelado de Datos Dimensional (Cohorte 3),Diseño de esquemas en estrella y copo de nieve para Data Warehouse.,BI
140,DAX Avanzado en Power BI (Cohorte 3),Fórmulas y funciones complejas para análisis de datos avanzado.,BI
141,ETL con Talend (Cohorte 3),"Extracción, transformación y carga de datos desde múltiples fuentes.",BI
142,SQL para Business Intelligence (Cohorte 3),"Consultas avanzadas, agregaciones y análisis de bases de datos.",BI
143,Google Looker Studio (Cohorte 3),Creación de reportes dinámicos e informes visuales en la nube.,BI
144,Excel Avanzado para Analistas (Cohorte 3),"Tablas dinámicas, macros, Power Query y funciones financieras.",BI
145,TensorFlow (Cohorte 3),Entrenamiento de redes neuronales y modelos de aprendizaje profundo.,IA
146,Machine Learning con Scikit-Learn (Cohorte 3),"Algoritmos de clasificación, regresión y clustering tradicionales.",IA
147,Deep Learning con PyTorch (Cohorte 3),Construcción de arquitecturas de redes complejas y redes de convolución.,IA
148,Procesamiento de Lenguaje Natural (Cohorte 3),"Análisis de texto, embeddings, modelos GPT y transformers.",IA
149,Visión por Computadora con OpenCV (Cohorte 3),"Detección de objetos, procesamiento de imágenes y video en tiempo real.",IA
150,Modelos de Lenguaje Grandes (LLMs) (Cohorte 3),Fine-tuning y despliegue de modelos masivos de IA.,IA
151,Sistemas de Recomendación (Cohorte 4),Algoritmos de filtrado colaborativo y basados en contenido.,IA
152,MLOps con MLflow (Cohorte 4),"Ciclo de vida, registro y despliegue de modelos de Machine Learning.",IA
153,React.js Esencial (Cohorte 4),"Componentes, hooks, estado y ciclo de vida en aplicaciones web.",Frontend
154,Vue.js 3 y Composition API (Cohorte 4),Desarrollo frontend moderno y reactivo con Vue.,Frontend
155,Angular Arquitectura (Cohorte 4),"Módulos, servicios, inyección de dependencias y TypeScript.",Frontend
156,CSS Avanzado y Flexbox/Grid (Cohorte 4),"Diseño web responsivo, animaciones y maquetación profesional.",Frontend
157,Next.js Framework (Cohorte 4),Renderizado en el servidor (SSR) y generación de sitios estáticos.,Frontend
158,Tailwind CSS (Cohorte 4),Diseño rápido de interfaces con clases utilitarias eficientes.,Frontend
159,JavaScript Moderno (ES6+) (Cohorte 4),"Promesas, asincronía, módulos y nuevas características del lenguaje.",Frontend
160,Optimización Web y Performance (Cohorte 4),Mejora de la velocidad de carga y métricas Core Web Vitals.,Frontend
161,PostgreSQL Avanzado (Cohorte 4),"Optimización de consultas, índices complejos y procedimientos almacenados.",Bases de Datos
162,MongoDB y NoSQL (Cohorte 4),Modelado de datos no relacionales basados en documentos flexibles.,Bases de Datos
163,Diseño de Bases de Datos (Cohorte 4),"Normalización, relaciones, integridad referencial y modelado relacional.",Bases de Datos
164,Redis como NoSQL (Cohorte 4),Uso de estructuras de datos en memoria para alta velocidad.,Bases de Datos
165,MySQL para Desarrolladores (Cohorte 4),"Administración, respaldos y desarrollo eficiente de consultas SQL.",Bases de Datos
166,Firebase Realtime Database (Cohorte 4),Sincronización de datos en tiempo real para aplicaciones móviles y web.,Bases de Datos
167,Neo4j y Gráficos (Cohorte 4),Bases de datos orientadas a grafos para análisis de conexiones complejas.,Bases de Datos
168,Cassandra a Gran Escala (Cohorte 4),Bases de datos distribuidas y altamente disponibles para Big Data.,Bases de Datos
169,Introducción a Python (Cohorte 4),"Variables, funciones, estructuras de control y sintaxis básica.",Python
170,Python Avanzado (Cohorte 4),"Decoradores, generadores, programación concurrente y metaprogramación.",Python
171,Django Web Framework (Cohorte 4),Desarrollo de aplicaciones web robustas con el framework Django.,Python
172,FastAPI para Microservicios (Cohorte 4),Creación de APIs REST rápidas y eficientes con tipado de datos.,Python
173,Análisis de Datos con Pandas (Cohorte 4),"Manipulación, limpieza y análisis exploratorio de datos.",Python
174,Web Scraping con BeautifulSoup (Cohorte 4),Extracción de datos e información desde páginas web.,Python
175,Automatización con Python (Cohorte 4),Creación de scripts para automatizar tareas repetitivas en el sistema.,Python
176,Pruebas Unitarias en Python (Cohorte 4),Uso de pytest y unittest para asegurar la calidad del código.,Python
177,Spring Boot APIs (Cohorte 4),Desarrollo de servicios Java Spring REST eficientes y escalables.,Backend
178,Node.js y Express (Cohorte 4),Construcción de servidores backend rápidos utilizando JavaScript.,Backend
179,Arquitectura de Microservicios (Cohorte 4),Diseño e implementación de sistemas distribuidos y desacoplados.,Backend
180,GraphQL Avanzado (Cohorte 4),Implementación de APIs con GraphQL y optimización de consultas.,Backend
181,Seguridad con OAuth2 (Cohorte 4),Protección de APIs mediante tokens JWT y flujos de autenticación.,Backend
182,NestJS Framework (Cohorte 4),Desarrollo backend estructurado y escalable con TypeScript.,Backend
183,Estrategias de Caching con Redis (Cohorte 4),Optimización del rendimiento web mediante caché en memoria.,Backend
184,Patrones de Diseño Backend (Cohorte 4),Aplicación de patrones de arquitectura y diseño de software limpio.,Backend
185,Docker Básico (Cohorte 4),"Gestión de contenedores, creación de imágenes y Docker Compose.",DevOps
186,Kubernetes en Producción (Cohorte 4),"Orquestación de contenedores, despliegue, escalado y alta disponibilidad.",DevOps
187,CI/CD con GitHub Actions (Cohorte 4),Automatización de flujos de integración y despliegue continuo.,DevOps
188,Terraform Infrastructure as Code (Cohorte 4),Gestión y aprovisionamiento de infraestructura en la nube como código.,DevOps
189,Monitoreo con Prometheus y Grafana (Cohorte 4),Configuración de métricas y tableros de visualización del sistema.,DevOps
190,Ansible Automatización (Cohorte 4),Configuración y gestión de servidores de forma automatizada.,DevOps
191,Linux para Administradores (Cohorte 4),"Comandos esenciales, seguridad y administración de servidores Linux.",DevOps
192,Seguridad en Cloud (DevSecOps) (Cohorte 4),Integración de prácticas de seguridad en el ciclo de vida de DevOps.,DevOps
193,Power BI (Cohorte 4),"Modelado de datos, creación de reportes y visualización interactiva.",BI
194,Tableau para Principiantes (Cohorte 4),Conexión a fuentes de datos y diseño de dashboards ejecutivos.,BI
195,Modelado de Datos Dimensional (Cohorte 4),Diseño de esquemas en estrella y copo de nieve para Data Warehouse.,BI
196,DAX Avanzado en Power BI (Cohorte 4),Fórmulas y funciones complejas para análisis de datos avanzado.,BI
197,ETL con Talend (Cohorte 4),"Extracción, transformación y carga de datos desde múltiples fuentes.",BI
198,SQL para Business Intelligence (Cohorte 4),"Consultas avanzadas, agregaciones y análisis de bases de datos.",BI
199,Google Looker Studio (Cohorte 4),Creación de reportes dinámicos e informes visuales en la nube.,BI
200,Excel Avanzado para Analistas (Cohorte 4),"Tablas dinámicas, macros, Power Query y funciones financieras.",BI
201,TensorFlow (Cohorte 5),Entrenamiento de redes neuronales y modelos de aprendizaje profundo.,IA
202,Machine Learning con Scikit-Learn (Cohorte 5),"Algoritmos de clasificación, regresión y clustering tradicionales.",IA
203,Deep Learning con PyTorch (Cohorte 5),Construcción de arquitecturas de redes complejas y redes de convolución.,IA
204,Procesamiento de Lenguaje Natural (Cohorte 5),"Análisis de texto, embeddings, modelos GPT y transformers.",IA
205,Visión por Computadora con OpenCV (Cohorte 5),"Detección de objetos, procesamiento de imágenes y video en tiempo real.",IA
206,Modelos de Lenguaje Grandes (LLMs) (Cohorte 5),Fine-tuning y despliegue de modelos masivos de IA.,IA
207,Sistemas de Recomendación (Cohorte 5),Algoritmos de filtrado colaborativo y basados en contenido.,IA
208,MLOps con MLflow (Cohorte 5),"Ciclo de vida, registro y despliegue de modelos de Machine Learning.",IA
209,React.js Esencial (Cohorte 5),"Componentes, hooks, estado y ciclo de vida en aplicaciones web.",Frontend
210,Vue.js 3 y Composition API (Cohorte 5),Desarrollo frontend moderno y reactivo con Vue.,Frontend
